country_name,country_code,population,gdp_per_cap
Algeria,DZA,42.01,4055.2472110962894
Egypt,EGY,99.38,2412.72708185213
Libya,LBY,6.47,5978.042925657281
Morocco,MAR,36.19,3022.9279201897803
Sudan,SDN,41.51,2898.5493455103997
Tunisia,TUN,11.66,3464.41689038656
Burundi,BDI,11.22,292.005210338326
Comoros,COM,0.83,1312.3339253661
Djibouti,DJI,0.97,1927.58970569415
Eritrea,ERI,5.19,
Ethiopia,ETH,107.53,767.563477815809
Kenya,KEN,50.95,1594.83492628749
Madagascar,MDG,26.26,449.722381894452
Malawi,MWI,19.16,338.48443034090303
Mauritius,MUS,1.27,10490.5039701879
Mozambique,MOZ,30.53,426.221961866327
Rwanda,RWA,12.5,748.292094303551
Seychelles,SYC,0.1,15629.3059375489
Somalia,SOM,15.18,478.34417487427396
South Sudan,SSD,12.92,
Uganda,UGA,44.27,606.468453487644
Zambia,ZMB,17.61,1513.27631610687
Zimbabwe,ZWE,16.91,1333.3956627939301
Angola,AGO,30.77,4100.28978571722
Cameroon,CMR,24.68,1451.86574665297
Central African Republic,CAF,4.74,418.41128703618205
Chad,TCD,15.35,662.50011455695
Congo,COG,5.4,1654.01032176396
Equatorial Guinea,GNQ,1.31,9697.6302336089
Gabon,GAB,2.07,7413.795206983051
Sao Tome and Principe,STP,0.21,1921.2844729345602
Botswana,BWA,2.33,7595.6111411324
Eswatini,SWZ,1.39,3242.75106472334
Lesotho,LSO,2.26,1154.44424617304
Namibia,NAM,2.59,5230.77172599964
South Africa,ZAF,57.4,6151.0779553128505
Benin,BEN,11.49,827.3936793946671
Burkina Faso,BFA,19.75,642.0371482690371
Cabo Verde,CPV,0.55,3244.4095609362703
Gambia,GMB,2.16,709.077157975436
Ghana,GHA,29.46,2046.10998628582
Guinea,GIN,13.05,823.493715477397
Guinea-Bissau,GNB,1.91,723.609411897261
Liberia,LBR,4.85,694.319582848856
Mali,MLI,19.11,827.0064008074651
Mauritania,MRT,4.54,1136.76459079339
Niger,NER,22.31,378.05925230381797
Nigeria,NGA,195.88,1968.42552277442
Senegal,SEN,16.29,1329.30422834628
Sierra Leone,SLE,7.72,499.529103314974
Togo,TGO,7.99,610.151730130474
Antigua and Barbuda,ATG,0.1,14803.0109275452
Aruba,ABW,0.11,25655.1020217537
Bahamas,BHS,0.4,30762.0124392644
Barbados,BRB,0.29,16356.9801098282
British Virgin Islands,VGB,0.03,
Cayman Islands,CYM,0.06,
Cuba,CUB,11.49,8433.09269880212
Curaçao,CUW,0.16,
Dominica,DMA,0.07,6719.33716604667
Dominican Republic,DOM,10.88,7052.258838968579
Grenada,GRD,0.11,10451.0298752265
Haiti,HTI,11.11,765.683924629642
Jamaica,JAM,2.9,5114.041080784829
Puerto Rico,PRI,3.66,
Saint Kitts and Nevis,KNA,0.06,17924.065464376697
Saint Lucia,LCA,0.18,9715.194785938
Sint Maarten (Dutch part),SXM,0.04,
Trinidad and Tobago,TTO,1.37,16126.3709498173
Turks and Caicos Islands,TCA,0.04,
United States Virgin Islands,VIR,0.1,
Belize,BLZ,0.38,4971.2016355246205
Costa Rica,CRI,4.95,11677.2690372725
El Salvador,SLV,6.41,3889.3087689540703
Guatemala,GTM,17.25,4470.9895719118895
Honduras,HND,9.42,2480.12592858547
Mexico,MEX,130.76,8910.33317708802
Nicaragua,NIC,6.28,2221.80644458727
Panama,PAN,4.16,15196.397339969199
Argentina,ARG,44.69,14398.358770905501
Brazil,BRA,210.87,9812.27853101845
Chile,CHL,18.2,15346.4496997595
Colombia,COL,49.46,6408.92001169297
Ecuador,ECU,16.86,6273.48889235625
Guyana,GUY,0.78,4655.14444757034
Paraguay,PRY,6.9,5823.76613678902
Peru,PER,32.55,6571.92864469964
Suriname,SUR,0.57,5317.38953875323
Uruguay,URY,3.47,16245.598367743101
Bermuda,BMU,0.06,
